Title,Created,Doc ID,Doc Type,Gelöscht,Last Edited,Last Reviewed,Lifecycle,Notes,Pattern Tags,Project,Related Logs,Source for Knowledge,Stability,Stack,Verified
Marokko Packliste — 02.04.–15.04.2026,8. April 2026 21:09,DOC-1,Reference,No,8. April 2026 21:09,,Active,"Reisecheckliste mit Reiseapotheke, Wettercheck, Marokko-Hinweisen. Reference für zukünftige Marokko-/Nordafrika-Reisen.",,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Stable,,No
Neurotransmitter Network,8. April 2026 21:16,DOC-3,Research,No,8. April 2026 21:16,,Active,"Theoretisches Fundament zu Dopamin, Serotonin, GABA. Stable weil grundlegende Mechanismen, nicht Stack-spezifisch.",,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Stable,,No
Haltung & Mobilität,8. April 2026 21:16,DOC-6,Research,No,8. April 2026 21:16,,Draft,"Research-Page noch nicht ausgefüllt. Prompts raus, Output ausstehend.",,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Draft,,No
Freelance & Automation Kontext,8. April 2026 21:16,DOC-10,Reference,No,8. April 2026 23:53,,Active,Freelance-Identität und Architektur-Prinzipien. Spiegelung in profile-context Skill.,,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Stable,,No
Energie-Stabilität,8. April 2026 21:16,DOC-5,Research,No,8. April 2026 21:16,,Active,"Research zu zyklischen Energie-Mustern, CAR, mitochondriellen Supplements, NEAT. Volatile weil eigene Beobachtungen integriert werden.",,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Volatile,,No
Theoretischer Full Stack,8. April 2026 21:16,DOC-8,Research,No,8. April 2026 22:36,,Active,Theoretischer Maximal-Stack inkl. Semax und Mikrodosing. Reines Bildungs-Dokument. Enthält in DE illegale Substanzen — NICHT als Handlungsanleitung gedacht.,,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Stable,,No
Augenringe & Äußerlichkeiten,8. April 2026 21:16,DOC-7,Research,No,8. April 2026 21:16,,Active,Augenringe als subjektiv größtes ästhetisches Thema. Wichtige Erkenntnis: KFA-Reduktion kann strukturelle Augenringe verschlechtern.,,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Volatile,,No
Supplement Stack & Biohacking,8. April 2026 21:16,DOC-2,Research,No,8. April 2026 21:16,,Active,"Aktueller Supplement Stack mit Dosierungen + Research zu Antagonismen, Timing, Shilajit, NMN/NR. Wird laufend angepasst (Stack-Migration auf Morgen/Abend-Split geplant).",,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Volatile,,No
Peptide Protokolle,8. April 2026 21:16,DOC-4,Research,No,8. April 2026 21:16,,Active,"Research zu Semax, Ipamorelin, Retatrutide. Stable weil mechanistisches Wissen. Keine konkreten Protokolle für Deniz — reines Research-Dokument.",,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Stable,,No
Profil — Deniz Özbek,8. April 2026 21:16,DOC-9,Reference,No,8. April 2026 23:53,,Active,"Master-Profil von Deniz — Stammdaten, Studium, Tech Stack, Beruf, Health Baseline, KI-Interaktions-Präferenzen. Volatile weil Health-Daten sich ändern. Spiegelung in profile-context Skill.",,Personal Life (https://www.notion.so/33c91df49386812f809ae080da3c4056?pvs=21),,,Volatile,,No
